nome,clube,liga,posicao,minutos,valor_mercado,cluster,nome_cluster,target,pred_titular,prob_titular,gols,assistencias,xG,passes_prog,pct_passes,desarmes,interceptacoes,bloqueios,cortes,chutes,chutes_gol,defesas_gk,pct_defesas,clean_sheets,idade,amarelos,vermelhos,jogos,posicao_enc,liga_enc,avaliacao_fotmob
Brenden Aaronson,Leeds United,Big5,MF,2301,,1,Atacantes,1,1,1.0,4,5,4.6,0.0,0.0,0.0,17,0.0,0.0,43.008,16,0.0,0.0,0.0,25.0,2,0,35,3,0,6.69
Zach Abbott,Nottingham Forest,Big5,DF,164,,0,Perfil 0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,0,0,3,0,0,6.86
Himad Abdelli,Marseille,Big5,MF,138,,0,Perfil 0,0,0,0.02,0,0,2.1,0.0,0.0,0.0,2,0.0,0.0,3.915,1,0.0,0.0,0.0,26.0,1,0,8,3,0,6.96
Ali Abdi,Nice,Big5,MF,1097,,0,Perfil 0,1,1,0.8,3,0,2.4,0.0,0.0,0.0,10,0.0,0.0,10.98,3,0.0,0.0,0.0,32.0,4,1,21,3,0,6.68
Salis Abdul Samed,Nice,Big5,MF,911,,0,Perfil 0,0,0,0.16,0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,1.01,0,0.0,0.0,0.0,26.0,3,0,18,3,0,6.27
Saud Abdulhamid,Lens,Big5,MF,1307,,0,Perfil 0,1,1,0.82,2,4,0.8,0.0,0.0,0.0,9,0.0,0.0,7.9750000000000005,3,0.0,0.0,0.0,26.0,3,1,24,3,0,6.9
Laurent Abergel,Lorient,Big5,MF,2253,,0,Perfil 0,1,1,1.0,1,0,0.8,0.0,0.0,0.0,28,0.0,0.0,22.0,5,0.0,0.0,0.0,33.0,6,0,27,3,0,6.91
Matthis Abline,Nantes,Big5,FW,2494,,1,Atacantes,1,1,0.99,6,4,8.0,0.0,0.0,0.0,9,0.0,0.0,83.931,22,0.0,0.0,0.0,23.0,6,0,32,1,0,6.79
Abner,Lyon,Big5,DF,2060,,0,Perfil 0,1,1,0.97,3,2,1.6,0.0,0.0,0.0,8,0.0,0.0,16.945999999999998,7,0.0,0.0,0.0,25.0,4,1,25,0,0,6.94
Zakaria Aboukhlal,Torino,Big5,MF,511,,0,Perfil 0,0,0,0.03,0,0,0.3,0.0,0.0,0.0,1,0.0,0.0,7.011,2,0.0,0.0,0.0,26.0,4,0,15,3,0,6.86
Tammy Abraham,Aston Villa,Big5,FW,286,,0,Perfil 0,0,0,0.0,2,0,2.0,0.0,0.0,0.0,0,0.0,0.0,9.056000000000001,3,0.0,0.0,0.0,28.0,0,0,12,1,0,6.74
Giorgi Abuashvili,Metz,Big5,MF,624,,0,Perfil 0,0,0,0.08,2,0,1.0,0.0,0.0,0.0,4,0.0,0.0,16.905,7,0.0,0.0,0.0,23.0,1,0,22,3,0,6.34
Mathieu Acapandié,Nantes,Big5,MF,261,,0,Perfil 0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,21.0,0,0,6,3,0,6.86
Akor Adams,Sevilla,Big5,FW,1947,,1,Atacantes,1,1,1.0,10,3,10.0,0.0,0.0,0.0,1,0.0,0.0,57.888000000000005,29,0.0,0.0,0.0,26.0,3,0,30,1,0,6.68
