Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Matches,Cmp,Att,Cmp%,TotDist,PrgDist,A-xAG,KP,1/3,PPA,CrsPA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,liga
1,Brenden Aaronson,usUSA,"MF,FW",Leeds United,engPremier League,25-204,2000,35,28,2301,25.6,4,5,9,4,0,0,2,0,0.35,Matches,,,,,,,,,,,,26,,,,,,,,,17,,,,16,37.2,1.68,0.63,0.09,0.25,,,,,,,,,,,,,,Big5
2,Zach Abbott,engENG,DF,Nottingham Forest,engPremier League,20-001,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,Matches,,,,,,,,,,,,4,,,,,,,,,2,,,,0,,0.00,0.00,,,,,,,,,,,,,,,,Big5
3,Jones El-Abdellaoui,maMAR,"MF,FW",Celta Vigo,esLa Liga,20-122,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,Matches,,,,,,,,,,,,3,,,,,,,,,3,,,,4,23.5,2.25,0.53,0.12,0.50,,,,,,,,,,,,,,Big5
4,Himad Abdelli,dzALG,MF,Marseille,frLigue 1,26-178,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,Matches,,,,,,,,,,,,1,,,,,,,,,2,,,,1,25.0,2.61,0.65,0.00,0.00,,,,,,,,,,,,,,Big5
5,Himad Abdelli,dzALG,MF,Angers,frLigue 1,26-178,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,Matches,,,,,,,,,,,,17,,,,,,,,,13,,,,5,45.5,1.05,0.48,0.00,0.00,,,,,,,,,,,,,,Big5
6,Ali Abdi,tnTUN,"MF,DF",Nice,frLigue 1,32-145,1993,21,12,1097,12.2,3,0,3,3,0,0,4,1,0.25,Matches,,,,,,,,,,,,10,,,,,,,,,10,,,,3,27.3,0.90,0.25,0.27,1.00,,,,,,,,,,,,,,Big5
7,Salis Abdul Samed,ghGHA,MF,Nice,frLigue 1,26-049,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0.00,Matches,,,,,,,,,,,,7,,,,,,,,,11,,,,0,0.0,0.10,0.00,0.00,,,,,,,,,,,,,,,Big5
8,Saud Abdulhamid,saKSA,MF,Lens,frLigue 1,26-300,1999,24,13,1307,14.5,2,4,6,2,0,0,3,1,0.41,Matches,,,,,,,,,,,,22,,,,,,,,,9,,,,3,37.5,0.55,0.21,0.25,0.67,,,,,,,,,,,,,,Big5
10,Laurent Abergel,frFRA,MF,Lorient,frLigue 1,33-102,1993,27,26,2253,25.0,1,0,1,1,0,0,6,0,0.04,Matches,,,,,,,,,,,,23,,,,,,,,,28,,,,5,22.7,0.88,0.20,0.05,0.20,,,,,,,,,,,,,,Big5
11,Matthis Abline,frFRA,"FW,MF",Nantes,frLigue 1,23-047,2003,32,27,2494,27.7,6,4,10,6,0,1,6,0,0.36,Matches,,,,,,,,,,,,13,,,,,,,,,9,,,,22,26.2,3.03,0.79,0.07,0.27,,,,,,,,,,,,,,Big5
