nome,posicao_raw,posicao,idade,nacionalidade,clube,liga,jogos,minutos,gols,assistencias,amarelos,vermelhos,passes_tent,pct_passes,passes_prog,chutes,chutes_gol,xG,desarmes,interceptacoes,bloqueios,cortes,defesas_gk,pct_defesas,clean_sheets,avaliacao_fotmob,90s,starts,nome_norm,nome_tm,valor_mercado
Brenden Aaronson,"MF,FW",MF,25.0,usUSA,Leeds United,Big5,35,2301,4,5,2,0,,,,43.008,16,4.6,,17,,,,,,6.69,25.6,28,brendenaaronson,,
Zach Abbott,DF,DF,20.0,engENG,Nottingham Forest,Big5,3,164,0,0,0,0,,,,0.0,0,,,2,,,,,,,1.8,2,zachabbott,,
Himad Abdelli,MF,MF,26.0,dzALG,Marseille,Big5,8,138,0,0,1,0,,,,3.915,1,2.1,,2,,,,,,6.96,1.5,1,himadabdelli,,
Ali Abdi,"MF,DF",MF,32.0,tnTUN,Nice,Big5,21,1097,3,0,4,1,,,,10.98,3,2.4,,10,,,,,,6.68,12.2,12,aliabdi,,
Salis Abdul Samed,MF,MF,26.0,ghGHA,Nice,Big5,18,911,0,0,3,0,,,,1.01,0,0.0,,11,,,,,,6.27,10.1,12,salisabdulsamed,,
Saud Abdulhamid,MF,MF,26.0,saKSA,Lens,Big5,24,1307,2,4,3,1,,,,7.9750000000000005,3,0.8,,9,,,,,,6.9,14.5,13,saudabdulhamid,,
Laurent Abergel,MF,MF,33.0,frFRA,Lorient,Big5,27,2253,1,0,6,0,,,,22.0,5,0.8,,28,,,,,,6.91,25.0,26,laurentabergel,,
Matthis Abline,"FW,MF",FW,23.0,frFRA,Nantes,Big5,32,2494,6,4,6,0,,,,83.931,22,8.0,,9,,,,,,6.79,27.7,27,matthisabline,,
Abner,"DF,MF",DF,25.0,brBRA,Lyon,Big5,25,2060,3,2,4,1,,,,16.945999999999998,7,1.6,,8,,,,,,6.94,22.9,24,abner,,
Zakaria Aboukhlal,MF,MF,26.0,maMAR,Torino,Big5,15,511,0,0,4,0,,,,7.011,2,0.3,,1,,,,,,,5.7,6,zakariaaboukhlal,,
Tammy Abraham,FW,FW,28.0,engENG,Aston Villa,Big5,12,286,2,0,0,0,,,,9.056000000000001,3,2.0,,0,,,,,,,3.2,2,tammyabraham,,
Giorgi Abuashvili,"MF,FW",MF,23.0,geGEO,Metz,Big5,22,624,2,0,1,0,,,,16.905,7,1.0,,4,,,,,,6.34,6.9,5,giorgiabuashvili,,
Mathieu Acapandié,"MF,DF",MF,21.0,mgMAD,Nantes,Big5,6,261,0,0,0,0,,,,0.0,0,,,3,,,,,,,2.9,2,mathieuacapandie,,
Akor Adams,FW,FW,26.0,ngNGA,Sevilla,Big5,30,1947,10,3,3,0,,,,57.888000000000005,29,10.0,,1,,,,,,6.68,21.6,20,akoradams,,
Che Adams,FW,FW,29.0,sctSCO,Torino,Big5,31,1826,5,2,0,0,,,,48.111000000000004,14,5.7,,1,,,,,,6.69,20.3,19,cheadams,,
Tyler Adams,MF,MF,27.0,usUSA,Bournemouth,Big5,23,1593,2,2,7,0,,,,9.027,6,0.6,,27,,,,,,6.94,17.7,19,tyleradams,,
Tosin Adarabioyo,DF,DF,28.0,engENG,Chelsea,Big5,16,795,0,0,2,0,,,,2.0240000000000005,0,0.1,,9,,,,,,,8.8,8,tosinadarabioyo,,
Jayden Addai,MF,MF,20.0,nlNED,Como,Big5,12,686,3,0,4,0,,,,12.995999999999999,6,1.5,,2,,,,,,,7.6,7,jaydenaddai,,
Simon Adingra,"MF,FW",MF,24.0,ciCIV,Sunderland,Big5,14,653,1,0,2,0,,,,6.058999999999999,2,0.3,,2,,,,,,,7.3,9,simonadingra,,
